HDR,ROLLING SYSTEM DEMAND
VD,20211003220000,24325
VD,20211003220500,23834
VD,20211003221000,23672
VD,20211003221500,23468
VD,20211003222000,23257
VD,20211003222500,22984
VD,20211003223000,22906
VD,20211003223500,22849
VD,20211003224000,22783
VD,20211003224500,22604
VD,20211003225000,22334
VD,20211003225500,22168
VD,20211003230000,21909
VD,20211003230500,21972
VD,20211003231000,22084
VD,20211003231500,21927
VD,20211003232000,21837
VD,20211003232500,21707
VD,20211003233000,21603
VD,20211003233500,21579
VD,20211003234000,21563
VD,20211003234500,21762
VD,20211003235000,21675
VD,20211003235500,21573
VD,20211004000000,21484
VD,20211004000500,21570
VD,20211004001000,21513
VD,20211004001500,21465
VD,20211004002000,21374
VD,20211004002500,21285
VD,20211004003000,21224
VD,20211004003500,21240
VD,20211004004000,21235
VD,20211004004500,21263
VD,20211004005000,21261
VD,20211004005500,21237
VD,20211004010000,21085
VD,20211004010500,20924
VD,20211004011000,20832
VD,20211004011500,20819
VD,20211004012000,20779
VD,20211004012500,20713
VD,20211004013000,20694
VD,20211004013500,20812
VD,20211004014000,20824
VD,20211004014500,20777
VD,20211004015000,20752
VD,20211004015500,20695
VD,20211004020000,20643
VD,20211004020500,20741
VD,20211004021000,20731
VD,20211004021500,20715
VD,20211004022000,20839
VD,20211004022500,20908
VD,20211004023000,20875
VD,20211004023500,20901
VD,20211004024000,20882
VD,20211004024500,20840
VD,20211004025000,20856
VD,20211004025500,20645
VD,20211004030000,20575
VD,20211004030500,20592
VD,20211004031000,20564
VD,20211004031500,20528
VD,20211004032000,20542
VD,20211004032500,20517
VD,20211004033000,20369
VD,20211004033500,20234
VD,20211004034000,20129
VD,20211004034500,20082
VD,20211004035000,20080
VD,20211004035500,20177
VD,20211004040000,20175
VD,20211004040500,20221
VD,20211004041000,20295
VD,20211004041500,20474
VD,20211004042000,20617
VD,20211004042500,20705
VD,20211004043000,20775
VD,20211004043500,21033
VD,20211004044000,21315
VD,20211004044500,21604
VD,20211004045000,21909
VD,20211004045500,22355
VD,20211004050000,22759
VD,20211004050500,23362
VD,20211004051000,23954
VD,20211004051500,24325
VD,20211004052000,24696
VD,20211004052500,25171
VD,20211004053000,25376
VD,20211004053500,25848
VD,20211004054000,26558
VD,20211004054500,27036
VD,20211004055000,27422
VD,20211004055500,27857
VD,20211004060000,28308
VD,20211004060500,29167
VD,20211004061000,29771
VD,20211004061500,30258
VD,20211004062000,30743
VD,20211004062500,31148
VD,20211004063000,31346
VD,20211004063500,31443
VD,20211004064000,31637
VD,20211004064500,31783
VD,20211004065000,31920
VD,20211004065500,31992
VD,20211004070000,32158
VD,20211004070500,32476
VD,20211004071000,32655
VD,20211004071500,32621
VD,20211004072000,32772
VD,20211004072500,32791
VD,20211004073000,32711
VD,20211004073500,32614
VD,20211004074000,32453
VD,20211004074500,32365
VD,20211004075000,32413
VD,20211004075500,32384
VD,20211004080000,32402
VD,20211004080500,32618
VD,20211004081000,32597
VD,20211004081500,32394
VD,20211004082000,32196
VD,20211004082500,32117
VD,20211004083000,32040
VD,20211004083500,31899
VD,20211004084000,31800
VD,20211004084500,31719
VD,20211004085000,31749
VD,20211004085500,31554
VD,20211004090000,31311
VD,20211004090500,31188
VD,20211004091000,31086
VD,20211004091500,31028
VD,20211004092000,30987
VD,20211004092500,30903
VD,20211004093000,30818
VD,20211004093500,30756
VD,20211004094000,30732
VD,20211004094500,30733
VD,20211004095000,30598
VD,20211004095500,30528
VD,20211004100000,30424
VD,20211004100500,30420
VD,20211004101000,30434
VD,20211004101500,30432
VD,20211004102000,30365
VD,20211004102500,30352
VD,20211004103000,30322
VD,20211004103500,30338
VD,20211004104000,30300
VD,20211004104500,30454
VD,20211004105000,30428
VD,20211004105500,30399
VD,20211004110000,30353
VD,20211004110500,30317
VD,20211004111000,30291
VD,20211004111500,30460
VD,20211004112000,30552
VD,20211004112500,30596
VD,20211004113000,30634
VD,20211004113500,30688
VD,20211004114000,30710
VD,20211004114500,30794
VD,20211004115000,30733
VD,20211004115500,30727
VD,20211004120000,30729
VD,20211004120500,30880
VD,20211004121000,30924
VD,20211004121500,30832
VD,20211004122000,30763
VD,20211004122500,30763
VD,20211004123000,30661
VD,20211004123500,30646
VD,20211004124000,30596
VD,20211004124500,30597
VD,20211004125000,30741
VD,20211004125500,30686
VD,20211004130000,30728
VD,20211004130500,30820
VD,20211004131000,30780
VD,20211004131500,30750
VD,20211004132000,30771
VD,20211004132500,30886
VD,20211004133000,30951
VD,20211004133500,31136
VD,20211004134000,31082
VD,20211004134500,31024
VD,20211004135000,31099
VD,20211004135500,31138
VD,20211004140000,31141
VD,20211004140500,31323
VD,20211004141000,31397
VD,20211004141500,31394
VD,20211004142000,31470
VD,20211004142500,31591
VD,20211004143000,31804
VD,20211004143500,32046
VD,20211004144000,32262
VD,20211004144500,32616
VD,20211004145000,32853
VD,20211004145500,33066
VD,20211004150000,33208
VD,20211004150500,33322
VD,20211004151000,33448
VD,20211004151500,33647
VD,20211004152000,33806
VD,20211004152500,34037
VD,20211004153000,34301
VD,20211004153500,34611
VD,20211004154000,34796
VD,20211004154500,35074
VD,20211004155000,35316
VD,20211004155500,35507
VD,20211004160000,35850
VD,20211004160500,36021
VD,20211004161000,36166
VD,20211004161500,36340
VD,20211004162000,36503
VD,20211004162500,36655
VD,20211004163000,36710
VD,20211004163500,36814
VD,20211004164000,36820
VD,20211004164500,36766
VD,20211004165000,36838
VD,20211004165500,36827
VD,20211004170000,36899
VD,20211004170500,37008
VD,20211004171000,37028
VD,20211004171500,37040
VD,20211004172000,37242
VD,20211004172500,37325
VD,20211004173000,37321
VD,20211004173500,37316
VD,20211004174000,37420
VD,20211004174500,37525
VD,20211004175000,37637
VD,20211004175500,37697
VD,20211004180000,37644
VD,20211004180500,37590
VD,20211004181000,37530
VD,20211004181500,37419
VD,20211004182000,37257
VD,20211004182500,37064
VD,20211004183000,36856
VD,20211004183500,36888
VD,20211004184000,36769
VD,20211004184500,36662
VD,20211004185000,36429
VD,20211004185500,36250
VD,20211004190000,36131
VD,20211004190500,36238
VD,20211004191000,36141
VD,20211004191500,35861
VD,20211004192000,35624
VD,20211004192500,35423
VD,20211004193000,35140
VD,20211004193500,34883
VD,20211004194000,34611
VD,20211004194500,34366
VD,20211004195000,34234
VD,20211004195500,33840
VD,20211004200000,33560
VD,20211004200500,33556
VD,20211004201000,33222
VD,20211004201500,32840
VD,20211004202000,32616
VD,20211004202500,32326
VD,20211004203000,31993
VD,20211004203500,31687
VD,20211004204000,31517
VD,20211004204500,31269
VD,20211004205000,30862
VD,20211004205500,30434
VD,20211004210000,30097
VD,20211004210500,29869
VD,20211004211000,29688
VD,20211004211500,29245
VD,20211004212000,28941
VD,20211004212500,28645
VD,20211004213000,28341
VD,20211004213500,28184
VD,20211004214000,27810
VD,20211004214500,27428
VD,20211004215000,27229
VD,20211004215500,26928
VD,20211004220000,26561
VD,20211004220500,26001
VD,20211004221000,25757
VD,20211004221500,25437
VD,20211004222000,25221
VD,20211004222500,24973
VD,20211004223000,24635
VD,20211004223500,24429
VD,20211004224000,24172
VD,20211004224500,23911
VD,20211004225000,23738
VD,20211004225500,23503
VD,20211004230000,23300
VD,20211004230500,23131
VD,20211004231000,22876
VD,20211004231500,22587
VD,20211004232000,22430
VD,20211004232500,22200
VD,20211004233000,22023
VD,20211004233500,22032
VD,20211004234000,21909
VD,20211004234500,21798
VD,20211004235000,21691
VD,20211004235500,21577
FTR,576
