HDR,ROLLING SYSTEM DEMAND
VD,20211006000000,23178
VD,20211006000500,23177
VD,20211006001000,23165
VD,20211006001500,23192
VD,20211006002000,23185
VD,20211006002500,23129
VD,20211006003000,23086
VD,20211006003500,23128
VD,20211006004000,23019
VD,20211006004500,23079
VD,20211006005000,23218
VD,20211006005500,23326
VD,20211006010000,23178
VD,20211006010500,23198
VD,20211006011000,23160
VD,20211006011500,23140
VD,20211006012000,23076
VD,20211006012500,23017
VD,20211006013000,22953
VD,20211006013500,23094
VD,20211006014000,23072
VD,20211006014500,22999
VD,20211006015000,22998
VD,20211006015500,22972
VD,20211006020000,22933
VD,20211006020500,22978
VD,20211006021000,22965
VD,20211006021500,22926
VD,20211006022000,22885
VD,20211006022500,22884
VD,20211006023000,22829
VD,20211006023500,22746
VD,20211006024000,22675
VD,20211006024500,22626
VD,20211006025000,22605
VD,20211006025500,22605
VD,20211006030000,22614
VD,20211006030500,22681
VD,20211006031000,22722
VD,20211006031500,22726
VD,20211006032000,22715
VD,20211006032500,22615
VD,20211006033000,22610
VD,20211006033500,22653
VD,20211006034000,22709
VD,20211006034500,22701
VD,20211006035000,22771
VD,20211006035500,22789
VD,20211006040000,22623
VD,20211006040500,22545
VD,20211006041000,22479
VD,20211006041500,22500
VD,20211006042000,22582
VD,20211006042500,22601
VD,20211006043000,22543
VD,20211006043500,22791
VD,20211006044000,22918
VD,20211006044500,23026
VD,20211006045000,23250
VD,20211006045500,23494
VD,20211006050000,23724
VD,20211006050500,24158
VD,20211006051000,24433
VD,20211006051500,24851
VD,20211006052000,25164
VD,20211006052500,25593
VD,20211006053000,25803
VD,20211006053500,26224
VD,20211006054000,26912
VD,20211006054500,27436
VD,20211006055000,27966
VD,20211006055500,28541
VD,20211006060000,28763
VD,20211006060500,29506
VD,20211006061000,30128
VD,20211006061500,30556
VD,20211006062000,30873
VD,20211006062500,31513
VD,20211006063000,31705
VD,20211006063500,31929
VD,20211006064000,32304
VD,20211006064500,32568
VD,20211006065000,32637
VD,20211006065500,32696
VD,20211006070000,32836
VD,20211006070500,33057
VD,20211006071000,33380
VD,20211006071500,33487
VD,20211006072000,33520
VD,20211006072500,33545
VD,20211006073000,33307
VD,20211006073500,33191
VD,20211006074000,33068
VD,20211006074500,32983
VD,20211006075000,32898
VD,20211006075500,32772
VD,20211006080000,32724
VD,20211006080500,32768
VD,20211006081000,32712
VD,20211006081500,32585
VD,20211006082000,32461
VD,20211006082500,32358
VD,20211006083000,32296
VD,20211006083500,32155
VD,20211006084000,32058
VD,20211006084500,31985
VD,20211006085000,31936
VD,20211006085500,31814
VD,20211006090000,31640
VD,20211006090500,31535
VD,20211006091000,31437
VD,20211006091500,31342
VD,20211006092000,31133
VD,20211006092500,31041
VD,20211006093000,31025
VD,20211006093500,31009
VD,20211006094000,30922
VD,20211006094500,30965
VD,20211006095000,30958
VD,20211006095500,30805
VD,20211006100000,30748
VD,20211006100500,30660
VD,20211006101000,30680
VD,20211006101500,30732
VD,20211006102000,30719
VD,20211006102500,30782
VD,20211006103000,30797
VD,20211006103500,30826
VD,20211006104000,30924
